"Qty","Reference","Value","PARTNO","DK","ALT1"
"3","C1,C3,C4","82uF","35SVPF82M","P16562CT-ND",""
"3","C2,C27,C35","0.1uF","CC0805KRX7R9BB104","311-1140-1-ND",""
"5","C5,C14,C19,C20,C26","1uF","CL21B105KBFNNNG","1276-6470-1-ND",""
"2","C6,C10","820pF","C0805C821J5GACTU","399-C0805C821J5GACTUCT-ND",""
"3","C7,C9,C11","0.015uF","C0805C153K5RAC7800","399-C0805C153K5RAC7800CT-ND",""
"1","C8","0.47uF","CL21B474KBFNNNG","1276-6482-1-ND",""
"1","C12","330pF","C0805C331J5GAC7800","399-C0805C331J5GAC7800CT-ND",""
"2","C13,C15","0.22uF","CL21B224KBFNFNE","1276-2947-1-ND",""
"3","C16,C17,C18","470uF","APXF6R3ARA471MH80G","565-3164-1-ND",""
"27","C21,C22,C23,C24,C32,C99,C100,C101,C104,C105,C106,C107,C108,C109,C110,C168,C169,C170,C201,C202,C203,C234,C235,C236,C267,C268,C269","0.1uF","KGM05AR71C104KH","478-KGM05AR71C104KHCT-ND",""
"1","C25","0.022uF","GRM155R71H223KA12J","490-6360-1-ND",""
"3","C28,C30,C31","1000pF","C2012C0G2A102J060AA","445-2320-1-ND",""
"1","C29","4700pF","CC0805KRX7R9BB472","311-1133-1-ND",""
"1","C33","100pF","CC0402JRNPO9BN101","311-1024-1-ND",""
"1","C34","4.7uF","GRM21BR61H475ME51L","490-14663-1-ND",""
"88","C90,C98,C102,C103,C111,C112,C113,C115,C116,C117,C118,C119,C120,C122,C156,C157,C159,C160,C161,C162,C163,C164,C174,C175,C176,C180,C181,C182,C183,C184,C185,C186,C187,C188,C189,C190,C191,C192,C193,C194,C195,C196,C197,C207,C208,C209,C213,C214,C215,C216,C217,C218,C219,C220,C221,C222,C223,C224,C225,C226,C227,C228,C229,C230,C240,C241,C242,C246,C247,C248,C249,C250,C251,C252,C253,C254,C255,C256,C257,C258,C259,C260,C261,C262,C263,C273,C274,C275","1uF","EMK105BJ105MV-F","587-5514-1-ND",""
"2","C96,C97","30pF","GRM1555C1H300JA01D","490-5935-1-ND",""
"12","C177,C178,C179,C210,C211,C212,C243,C244,C245,C276,C277,C278","100uF","CL31A107MQHNNNE","1276-1782-1-ND",""
"2","D1,D2","XBS104S13R-G","XBS104S13R-G","893-1188-1-ND",""
"2","D4,D5","SMAJ6.0A","SMBJP6KE6.8A-TP","SMBJP6KE6.8A-TPMSCT-ND",""
"1","D6","SMBJ30CA","SMBJ30CA","SMBJ30CALFCT-ND",""
"2","J1,J2","Screw Terminal","7790","36-7790-ND",""
"8","J3,J4,J5,J7,J8,J9,J10,J11","Conn_01x01","","",""
"1","J6","USB_C_Receptacle_USB2.0","USB4105-GF-A","2073-USB4105-GF-ACT-ND",""
"3","J14,J18,J21","Conn_01x01","","",""
"1","J15","Conn_01x01","","",""
"1","J19","Conn_Coaxial","MMCX-P-P-H-ST-TH1","SAM10618-ND",""
"2","L1,L2","3.3uH","SER2915L-332KL","2457-SER2915L-332KL-ND",""
"4","Q1,Q2,Q3,Q4","CSD18511Q5A","CSD18511Q5A","296-48119-1-ND",""
"1","Q5","NVMFS5C645NLAFT1G","NVMFS5C645NLAFT1G","488-NVMFS5C645NLAFT1GCT-ND",""
"1","R3","44.2k","RC0603FR-0744K2L","311-44.2KHRCT-ND",""
"1","R4","11k","RC0603FR-0711KL","311-11.0KHRCT-ND",""
"2","R5,R9","86.6k","RC0603FR-0786K6L","311-86.6KHRCT-ND",""
"1","R6","3.57k","RC0603FR-073K57L","311-3.57KHRCT-ND",""
"1","R7","1.02k","RC0603FR-071K02L","311-1.02KHRCT-ND",""
"2","R8,R10","3m","WSR23L000FEA","WSRA-.003CT-ND",""
"1","R11","39k","RC0402FR-0739KL","311-39.0KLRCT-ND",""
"61","R12,R13,R14,R15,R16,R53,R54,R57,R58,R59,R60,R62,R63,R65,R75,R79,R83,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100,R101,R102,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R124,R125,R126,R127,R128,R129,R130,R131,R132,R133,R135,R136,R137,R138","33","RC0402FR-0733RL","311-33.0LRCT-ND",""
"12","R17,R56,R85,R86,R87,R103,R104,R105,R121,R122,R123,R134","2k","RC0402FR-072KL","311-2KLRCT-ND",""
"3","R18,R35,R50","10k","RC0402FR-0710KL","311-10.0KLRCT-ND",""
"2","R19,R20","4.7k","RC0402FR-074K7L","311-4.7KLRCT-ND",""
"2","R21,R22","100k","RC0402FR-07100KL","311-100KLRCT-ND",""
"6","R23,R26,R29,R30,R31,R32","10","RC0603FR-0710RL","311-10.0HRCT-ND",""
"3","R24,R25,R33","0","RC0603FR-070RL","311-0.0HRCT-ND",""
"2","R27,R28","5.1","ERJ-1TRQF5R1U","PT5.1YCT-ND",""
"1","R34","49.9k","RC0402FR-0749K9L","311-49.9KLRCT-ND",""
"2","R51,R52","5.1k","RMCF0402JT5K10","RMCF0402JT5K10CT-ND",""
"3","R55,R64,R69","1k","RC0402FR-071KL","311-1.00KLRCT-ND",""
"2","R61,R70","49.9","RC0402FR-0749R9L","311-49.9LRCT-ND",""
"2","SW1,SW2","GT-TC029B-H025-L1N","CS1213AGF260","2449-CS1213AGF260CT-ND",""
"1","U1","LM25119PSQ/NOPB","LM25119PSQ/NOPB","296-43567-1-ND",""
"1","U2","DS4432U+","DS4432U+","DS4432U+-ND",""
