Ref,Val,Package,PosX,PosY,Rot,Side
"C23","0.1uF","C_0402_1005Metric",220.818410,-169.666590,0.000000,bottom
"C111","1uF","C_0402_1005Metric",126.440000,-162.575000,-90.000000,bottom
"C112","1uF","C_0402_1005Metric",127.147500,-176.250000,-90.000000,bottom
"C113","1uF","C_0402_1005Metric",127.030000,-190.000000,-90.000000,bottom
"C115","1uF","C_0402_1005Metric",126.430000,-164.825000,90.000000,bottom
"C116","1uF","C_0402_1005Metric",127.167500,-178.490000,90.000000,bottom
"C117","1uF","C_0402_1005Metric",127.040000,-192.290000,90.000000,bottom
"C118","1uF","C_0402_1005Metric",127.440000,-157.210000,-90.000000,bottom
"C119","1uF","C_0402_1005Metric",127.210000,-171.150000,-90.000000,bottom
"C120","1uF","C_0402_1005Metric",127.390000,-184.220000,-90.000000,bottom
"C122","1uF","C_0402_1005Metric",127.440000,-159.470000,90.000000,bottom
"C156","1uF","C_0402_1005Metric",127.207500,-173.415000,90.000000,bottom
"C157","1uF","C_0402_1005Metric",127.400000,-186.475000,90.000000,bottom
"C159","1uF","C_0402_1005Metric",132.130000,-164.070000,90.000000,bottom
"C160","1uF","C_0402_1005Metric",131.900000,-177.270000,90.000000,bottom
"C161","1uF","C_0402_1005Metric",131.820000,-192.275000,90.000000,bottom
"C162","1uF","C_0402_1005Metric",133.130000,-164.070000,90.000000,bottom
"C163","1uF","C_0402_1005Metric",132.930000,-177.920000,90.000000,bottom
"C164","1uF","C_0402_1005Metric",132.900000,-192.275000,90.000000,bottom
"C168","0.1uF","C_0402_1005Metric",142.690000,-154.820000,-90.000000,bottom
"C169","0.1uF","C_0402_1005Metric",141.095000,-167.970000,-90.000000,bottom
"C170","0.1uF","C_0402_1005Metric",141.395000,-181.680000,-90.000000,bottom
"C174","1uF","C_0402_1005Metric",141.630000,-154.820000,-90.000000,bottom
"C175","1uF","C_0402_1005Metric",142.140000,-167.970000,-90.000000,bottom
"C176","1uF","C_0402_1005Metric",142.440000,-181.680000,-90.000000,bottom
"C177","100uF","C_1206_3216Metric",144.440000,-154.820000,-90.000000,bottom
"C178","100uF","C_1206_3216Metric",132.525000,-168.400000,-90.000000,bottom
"C179","100uF","C_1206_3216Metric",144.320000,-181.320000,-90.000000,bottom
"C180","1uF","C_0402_1005Metric",148.490000,-186.510000,-90.000000,bottom
"C181","1uF","C_0402_1005Metric",148.190000,-172.695000,-90.000000,bottom
"C182","1uF","C_0402_1005Metric",148.622500,-154.835000,-90.000000,bottom
"C183","1uF","C_0402_1005Metric",148.490000,-188.810000,90.000000,bottom
"C184","1uF","C_0402_1005Metric",148.190000,-174.955000,90.000000,bottom
"C185","1uF","C_0402_1005Metric",148.632500,-157.115000,90.000000,bottom
